Gender,Grade,High School,School ID,Student ID,Student Name,Type,Budget,Math Score,Reading Score,Size
F,11th,Huang,0,28,Kelly James,District,1910635,55,73,2917
F,12th,Huang,0,29,Nicole Brown,District,1910635,88,90,2917
M,9th,Huang,0,30,Bobby Harris,District,1910635,99,94,2917
M,10th,Huang,0,31,Brian Fernandez,District,1910635,65,97,2917
F,11th,Huang,0,32,Candace Phelps,District,1910635,90,93,2917
F,12th,Huang,0,33,Amy Gonzalez,District,1910635,68,95,2917
M,11th,Huang,0,34,Steven Green,District,1910635,74,65,2917
M,10th,Huang,0,35,Benjamin Carlson,District,1910635,61,99,2917
M,10th,Huang,0,36,Kevin Bailey,District,1910635,76,76,2917
M,10th,Huang,0,37,Jesse Newton,District,1910635,66,63,2917
F,12th,Huang,0,38,Kimberly Mercado,District,1910635,77,73,2917
M,9th,Huang,0,39,Gregory Roberts,District,1910635,61,80,2917
M,9th,Huang,0,40,Matthew Mayer,District,1910635,69,79,2917
F,11th,Huang,0,41,Jennifer Parks,District,1910635,95,85,2917
M,9th,Huang,0,42,John Carlson,District,1910635,89,65,2917
F,9th,Huang,0,43,Megan Roberts,District,1910635,90,66,2917
F,10th,Huang,0,44,Debra Flores,District,1910635,66,75,2917
F,11th,Huang,0,45,Heidi Jackson,District,1910635,93,64,2917
F,12th,Huang,0,46,Denise Bradford,District,1910635,59,73,2917
F,11th,Huang,0,47,Ellen Brown,District,1910635,81,77,2917
F,9th,Huang,0,48,Amy Perkins,District,1910635,66,76,2917
F,10th,Huang,0,49,Natalie Mitchell,District,1910635,93,73,2917
F,10th,Huang,0,50,Tiffany Gutierrez,District,1910635,95,82,2917
F,11th,Huang,0,51,Jennifer Hess,District,1910635,56,91,2917
F,12th,Huang,0,52,Christine Fletcher,District,1910635,78,69,2917
M,9th,Huang,0,53,Jon Smith,District,1910635,69,96,2917
F,9th,Huang,0,54,Tracey Yates,District,1910635,68,83,2917
M,12th,Huang,0,55,Jerry Gordon,District,1910635,71,95,2917
M,11th,Huang,0,56,Michael Cox,District,1910635,72,72,2917
F,9th,Huang,0,57,Madeline Snyder MD,District,1910635,56,97,2917
F,11th,Huang,0,58,Allison King,District,1910635,84,74,2917
F,9th,Huang,0,59,Theresa Meyer,District,1910635,70,88,2917
M,9th,Huang,0,60,Jared Wood,District,1910635,89,63,2917
M,9th,Huang,0,61,Eric Maynard,District,1910635,95,64,2917
M,11th,Huang,0,62,Mark Owens,District,1910635,65,74,2917
M,11th,Huang,0,63,Ronnie Conley,District,1910635,61,77,2917
F,12th,Huang,0,64,Kimberly Davis,District,1910635,57,87,2917
F,11th,Huang,0,65,Amy Mitchell,District,1910635,60,74,2917
M,10th,Huang,0,66,Mr. Dylan Taylor MD,District,1910635,93,77,2917
F,12th,Huang,0,67,Elizabeth Henderson,District,1910635,60,70,2917
M,12th,Huang,0,68,James Lopez,District,1910635,82,65,2917
M,11th,Huang,0,69,Michael Morgan,District,1910635,89,75,2917
F,12th,Huang,0,70,Angela Francis,District,1910635,60,70,2917
F,10th,Huang,0,71,Breanna Taylor,District,1910635,68,93,2917
M,12th,Huang,0,72,Jason Johnson,District,1910635,65,82,2917
M,10th,Huang,0,73,Kyle Martin,District,1910635,94,72,2917
M,10th,Huang,0,74,Dr. Scott Gill,District,1910635,85,85,2917
F,10th,Huang,0,75,Lisa Long,District,1910635,62,87,2917
F,9th,Huang,0,76,Erin Liu,District,1910635,76,78,2917
M,12th,Huang,0,77,Marcus Richards,District,1910635,76,83,2917
M,12th,Huang,0,78,Jason Thompson,District,1910635,57,99,2917
F,9th,Huang,0,79,Elizabeth Mckinney,District,1910635,81,74,2917
F,10th,Huang,0,80,Jessica Bailey,District,1910635,70,67,2917
F,12th,Huang,0,81,Lisa Frye,District,1910635,73,94,2917
F,11th,Huang,0,82,Lindsey Baker,District,1910635,57,81,2917
F,12th,Huang,0,83,Lisa Ramirez,District,1910635,76,64,2917
M,10th,Huang,0,84,Joseph Butler,District,1910635,63,77,2917
F,10th,Huang,0,85,Tina Lynch,District,1910635,60,94,2917
F,10th,Huang,0,86,Leah Benitez,District,1910635,84,93,2917
F,10th,Huang,0,87,Elizabeth Parker,District,1910635,56,85,2917
F,10th,Huang,0,88,Melissa Hunter,District,1910635,70,90,2917
F,11th,Huang,0,89,Miss Madison Everett,District,1910635,78,70,2917
M,9th,Huang,0,90,Ronald Garcia,District,1910635,86,99,2917
M,10th,Huang,0,91,Mark Cherry,District,1910635,98,96,2917
M,9th,Huang,0,92,Ryan Stokes,District,1910635,72,75,2917
M,10th,Huang,0,93,Isaiah Maldonado,District,1910635,91,84,2917
M,12th,Huang,0,94,Micheal Dennis,District,1910635,61,86,2917
M,11th,Huang,0,95,Kevin Martinez,District,1910635,58,89,2917
F,9th,Huang,0,96,Jessica Smith,District,1910635,72,77,2917
F,11th,Huang,0,97,Dawn Trujillo,District,1910635,87,82,2917
F,10th,Huang,0,98,Virginia Ramirez MD,District,1910635,89,99,2917
M,10th,Huang,0,99,Marc Hernandez,District,1910635,63,87,2917
M,12th,Huang,0,100,Jose Gonzalez,District,1910635,67,69,2917
M,10th,Huang,0,101,Jason Dennis,District,1910635,57,72,2917
M,11th,Huang,0,102,Gary Morris,District,1910635,58,74,2917
M,12th,Huang,0,103,William Mcdonald,District,1910635,74,86,2917
M,9th,Huang,0,104,Michael Savage,District,1910635,66,75,2917
F,11th,Huang,0,105,Alexis Todd,District,1910635,95,82,2917
M,10th,Huang,0,106,David Hansen,District,1910635,86,76,2917
M,12th,Huang,0,107,Steven Mendez,District,1910635,88,68,2917
M,12th,Huang,0,108,Ryan Lynch,District,1910635,67,77,2917
M,9th,Huang,0,109,Timothy Marks,District,1910635,62,78,2917
M,10th,Huang,0,110,Alexander Johns,District,1910635,77,67,2917
M,9th,Huang,0,111,Kenneth Chavez,District,1910635,79,70,2917
M,10th,Huang,0,112,Dennis Williams,District,1910635,67,88,2917
M,12th,Huang,0,113,Michael Roy,District,1910635,73,85,2917
M,12th,Huang,0,114,Richard Ryan,District,1910635,86,88,2917
M,12th,Huang,0,115,Matthew Reyes,District,1910635,60,79,2917
F,11th,Huang,0,116,Stephanie Ward,District,1910635,69,75,2917
M,10th,Huang,0,117,Christopher Tucker,District,1910635,90,80,2917
M,12th,Huang,0,118,Daniel Jones,District,1910635,68,66,2917
M,10th,Huang,0,119,Devin Craig,District,1910635,80,65,2917
F,12th,Huang,0,120,Erin Prince,District,1910635,81,88,2917
M,11th,Huang,0,121,Bernard Ortiz,District,1910635,76,78,2917
F,10th,Huang,0,122,Nicole Miller,District,1910635,57,98,2917
M,9th,Huang,0,123,Christopher Fritz,District,1910635,77,88,2917
F,11th,Huang,0,124,Bonnie Mckinney,District,1910635,65,63,2917
M,11th,Huang,0,125,Troy Nelson,District,1910635,63,79,2917
F,12th,Huang,0,126,Jennifer Lee,District,1910635,66,93,2917
M,10th,Huang,0,127,Ronald Ward,District,1910635,89,74,2917
M,11th,Huang,0,128,Nathaniel Hampton,District,1910635,81,70,2917
M,11th,Huang,0,129,Michael Travis,District,1910635,79,65,2917
M,9th,Huang,0,130,James Taylor,District,1910635,71,77,2917
M,9th,Huang,0,131,Thomas Strickland,District,1910635,77,63,2917
F,9th,Huang,0,132,Brittany Jackson,District,1910635,57,79,2917
F,9th,Huang,0,133,Marisa Lowe,District,1910635,95,95,2917
F,9th,Huang,0,134,Nicole Thomas,District,1910635,59,83,2917
M,12th,Huang,0,135,Matthew Rodriguez,District,1910635,79,80,2917
M,12th,Huang,0,136,Kent Fernandez,District,1910635,58,66,2917
F,12th,Huang,0,137,Michelle Martin,District,1910635,92,86,2917
M,9th,Huang,0,138,John Sparks,District,1910635,91,74,2917
F,11th,Huang,0,139,Ann Blake,District,1910635,75,97,2917
F,12th,Huang,0,140,Melissa Miller,District,1910635,67,76,2917
M,9th,Huang,0,141,Steven Houston,District,1910635,71,99,2917
F,11th,Huang,0,142,Kristen Anderson,District,1910635,76,78,2917
M,11th,Huang,0,143,Cory Jones,District,1910635,73,82,2917
F,10th,Huang,0,144,Jennifer Mora,District,1910635,73,98,2917
M,9th,Huang,0,145,Dennis Griffin,District,1910635,71,78,2917
M,10th,Huang,0,146,Darryl Brown,District,1910635,90,98,2917
M,10th,Huang,0,147,Martin Mosley,District,1910635,67,90,2917
F,10th,Huang,0,148,Joyce Diaz,District,1910635,58,85,2917
M,12th,Huang,0,149,Jeffrey Rose,District,1910635,91,81,2917
F,9th,Huang,0,150,Jamie Moreno,District,1910635,99,78,2917
F,9th,Huang,0,151,Catherine Williams,District,1910635,56,66,2917
F,11th,Huang,0,152,Lauren Byrd,District,1910635,92,66,2917
F,10th,Huang,0,153,Vanessa Frazier,District,1910635,82,85,2917
M,11th,Huang,0,154,Stephen Bryant,District,1910635,77,83,2917
M,12th,Huang,0,155,Lawrence Liu,District,1910635,73,82,2917
M,9th,Huang,0,156,Joseph Larsen,District,1910635,82,88,2917
F,11th,Huang,0,157,Susan Collier,District,1910635,92,76,2917
F,9th,Huang,0,158,Meagan Jensen,District,1910635,67,66,2917
F,12th,Huang,0,159,Julie Harper,District,1910635,73,88,2917
F,12th,Huang,0,160,Meghan Carroll,District,1910635,98,75,2917
F,11th,Huang,0,161,Wanda Horton,District,1910635,88,68,2917
F,10th,Huang,0,162,Mary Campbell,District,1910635,56,72,2917
F,11th,Huang,0,163,Jennifer Rodgers,District,1910635,98,83,2917
F,12th,Huang,0,164,Heather Cooper,District,1910635,61,85,2917
M,11th,Huang,0,165,Ryan Perez,District,1910635,87,70,2917
M,12th,Huang,0,166,Ryan Cox,District,1910635,72,95,2917
M,10th,Huang,0,167,Darren Zavala,District,1910635,84,64,2917
M,10th,Huang,0,168,Joseph Morales III,District,1910635,85,64,2917
M,10th,Huang,0,169,Aaron West,District,1910635,67,98,2917
M,10th,Huang,0,170,James Combs,District,1910635,82,65,2917
M,10th,Huang,0,171,Curtis Garner,District,1910635,78,79,2917
F,10th,Huang,0,172,Sarah Miller,District,1910635,71,94,2917
F,10th,Huang,0,173,Samantha Thomas,District,1910635,62,92,2917
M,9th,Huang,0,174,Robert Atkins,District,1910635,97,85,2917
M,10th,Huang,0,175,Alexis Crawford,District,1910635,82,70,2917
M,11th,Huang,0,176,Ryan Maddox,District,1910635,80,80,2917
M,9th,Huang,0,177,Jonathan Meyer,District,1910635,79,65,2917
F,10th,Huang,0,178,Donna Wagner,District,1910635,61,95,2917
M,11th,Huang,0,179,William Kennedy,District,1910635,56,76,2917
F,11th,Huang,0,180,Kimberly Martinez,District,1910635,83,84,2917
M,11th,Huang,0,181,Matthew Anderson,District,1910635,99,92,2917
F,9th,Huang,0,182,Kari Miller,District,1910635,55,88,2917
F,9th,Huang,0,183,Jenna Luna,District,1910635,91,73,2917
M,12th,Huang,0,184,Justin Contreras,District,1910635,63,89,2917
F,11th,Huang,0,185,Mary Fox,District,1910635,92,94,2917
M,10th,Huang,0,186,Joseph Perkins,District,1910635,76,96,2917
F,12th,Huang,0,187,Kelly Phillips,District,1910635,90,78,2917
M,11th,Huang,0,188,Justin Thornton,District,1910635,61,65,2917
M,10th,Huang,0,189,Joshua Barber,District,1910635,61,77,2917
M,11th,Huang,0,190,Travis Jackson,District,1910635,96,86,2917
F,10th,Huang,0,191,Jordan Beasley,District,1910635,59,96,2917
M,12th,Huang,0,192,Kevin Allen,District,1910635,63,68,2917
F,11th,Huang,0,193,Victoria Harris,District,1910635,59,89,2917
F,12th,Huang,0,194,Victoria Joseph,District,1910635,56,72,2917
F,11th,Huang,0,195,Brandy Marshall,District,1910635,60,86,2917
M,11th,Huang,0,196,Ryan Jimenez,District,1910635,89,63,2917
M,9th,Huang,0,197,Michael Chan,District,1910635,69,63,2917
M,9th,Huang,0,198,Christopher Phillips,District,1910635,55,86,2917
M,10th,Huang,0,199,Kevin Murphy,District,1910635,99,85,2917
F,12th,Huang,0,200,Vanessa Harper,District,1910635,85,85,2917
M,9th,Huang,0,201,James Ferguson,District,1910635,66,96,2917
F,12th,Huang,0,202,Carol Schroeder,District,1910635,61,83,2917
M,10th,Huang,0,203,Jerry Phillips,District,1910635,72,82,2917
F,9th,Huang,0,204,Kristin Wade,District,1910635,56,71,2917
F,11th,Huang,0,205,Jessica Warner,District,1910635,83,94,2917
F,11th,Huang,0,206,Dorothy Burke,District,1910635,92,91,2917
F,9th,Huang,0,207,Bethany Walter,District,1910635,76,88,2917
F,9th,Huang,0,208,Melissa Avery,District,1910635,86,83,2917
M,11th,Huang,0,209,Daniel Sutton,District,1910635,96,86,2917
M,9th,Huang,0,210,Ryan Johnson,District,1910635,79,63,2917
M,10th,Huang,0,211,Timothy Quinn,District,1910635,76,83,2917
M,10th,Huang,0,212,Zachary Allen,District,1910635,87,64,2917
F,12th,Huang,0,213,Lauren Schmitt,District,1910635,61,71,2917
F,11th,Huang,0,214,Stephanie Armstrong,District,1910635,66,70,2917
M,9th,Huang,0,215,Ruben Rivera,District,1910635,79,65,2917
F,12th,Huang,0,216,Patricia Petty,District,1910635,98,79,2917
M,11th,Huang,0,217,Joseph Jacobs,District,1910635,68,96,2917
F,11th,Huang,0,218,Bianca Wilson,District,1910635,62,66,2917
M,9th,Huang,0,219,Donald Perez,District,1910635,79,87,2917
M,9th,Huang,0,220,Curtis Gomez,District,1910635,77,77,2917
F,9th,Huang,0,221,Courtney Brown,District,1910635,88,90,2917
F,9th,Huang,0,222,Nicole Randall,District,1910635,78,94,2917
M,11th,Huang,0,223,Steven Lambert,District,1910635,56,64,2917
M,10th,Huang,0,224,Anthony Alvarez,District,1910635,90,93,2917
M,10th,Huang,0,225,Shawn Farrell,District,1910635,87,89,2917
M,9th,Huang,0,226,Jesus Schmidt,District,1910635,76,80,2917
F,12th,Huang,0,227,Laura Wright,District,1910635,69,89,2917
M,11th,Huang,0,228,Steven Smith,District,1910635,65,66,2917
M,9th,Huang,0,229,Norman Thompson,District,1910635,78,99,2917
M,10th,Huang,0,230,Anthony Wright,District,1910635,64,76,2917
F,11th,Huang,0,231,Kayla Watts,District,1910635,89,74,2917
F,9th,Huang,0,232,Aimee Johnson,District,1910635,55,97,2917
F,12th,Huang,0,233,Heidi Scott,District,1910635,98,77,2917
M,10th,Huang,0,234,Anthony Williams,District,1910635,93,78,2917
F,12th,Huang,0,235,Sarah Hill,District,1910635,97,88,2917
F,9th,Huang,0,236,Kim Wang,District,1910635,71,90,2917
F,11th,Huang,0,237,Beth Manning,District,1910635,92,88,2917
M,12th,Huang,0,238,Ryan Hanson,District,1910635,83,87,2917
M,9th,Huang,0,239,James Wood,District,1910635,81,70,2917
M,10th,Huang,0,240,Corey Greene,District,1910635,94,70,2917
M,11th,Huang,0,241,John Carter,District,1910635,83,95,2917
F,11th,Huang,0,242,Beth Garza,District,1910635,92,75,2917
F,9th,Huang,0,243,Karen Jones,District,1910635,96,78,2917
F,10th,Huang,0,244,Stephanie Poole,District,1910635,59,95,2917
F,9th,Huang,0,245,Lisa Brown,District,1910635,72,99,2917
M,10th,Huang,0,246,Paul Scott,District,1910635,78,64,2917
F,10th,Huang,0,247,Evelyn Buck,District,1910635,60,68,2917
M,9th,Huang,0,248,Terry Harrell,District,1910635,69,86,2917
F,11th,Huang,0,249,Leah Skinner,District,1910635,79,70,2917
M,11th,Huang,0,250,Anthony Mercado,District,1910635,97,95,2917
M,9th,Huang,0,251,Walter Kelly,District,1910635,78,80,2917
F,10th,Huang,0,252,Lori Evans,District,1910635,66,99,2917
F,12th,Huang,0,253,Ashley Jones,District,1910635,72,96,2917
F,9th,Huang,0,254,Amber Soto,District,1910635,60,82,2917
M,10th,Huang,0,255,Patrick Phillips,District,1910635,62,64,2917
F,11th,Huang,0,256,Linda Curry,District,1910635,76,74,2917
M,10th,Huang,0,257,Alexander Obrien,District,1910635,90,68,2917
M,10th,Huang,0,258,Vincent Garza,District,1910635,61,97,2917
M,11th,Huang,0,259,Terry Marsh,District,1910635,69,99,2917
F,11th,Huang,0,260,Angela Perkins DVM,District,1910635,56,76,2917
M,9th,Huang,0,261,Peter Hampton,District,1910635,97,83,2917
M,11th,Huang,0,262,David Cross,District,1910635,61,68,2917
M,10th,Huang,0,263,Clinton Ortega,District,1910635,62,93,2917
F,10th,Huang,0,264,Jamie Escobar,District,1910635,91,91,2917
F,12th,Huang,0,265,Sandra Mason,District,1910635,83,76,2917
M,12th,Huang,0,266,Craig Cole,District,1910635,92,83,2917
F,12th,Huang,0,267,Lisa Warren,District,1910635,81,70,2917
F,9th,Huang,0,268,Maria Howard,District,1910635,91,74,2917
M,11th,Huang,0,269,Michael Porter,District,1910635,68,86,2917
M,11th,Huang,0,270,John Turner,District,1910635,99,78,2917
M,12th,Huang,0,271,Timothy Wang,District,1910635,75,93,2917
F,9th,Huang,0,272,Amanda Taylor,District,1910635,58,73,2917
F,9th,Huang,0,273,Karen Mckenzie,District,1910635,64,82,2917
M,11th,Huang,0,274,Brandon Miles,District,1910635,76,98,2917
F,12th,Huang,0,275,Christina Whitaker,District,1910635,89,86,2917
F,9th,Huang,0,276,Nicole Peterson,District,1910635,98,78,2917
F,9th,Huang,0,277,Ashley Moore,District,1910635,74,67,2917
M,10th,Huang,0,278,Todd Carrillo,District,1910635,99,80,2917
M,10th,Huang,0,279,Robert Williams,District,1910635,68,63,2917
F,9th,Huang,0,280,Ashley Jones,District,1910635,72,92,2917
F,9th,Huang,0,281,Vanessa Parker,District,1910635,78,67,2917
M,12th,Huang,0,282,Robert Carlson,District,1910635,82,73,2917
M,10th,Huang,0,283,Jared Lewis,District,1910635,56,77,2917
M,10th,Huang,0,284,Christopher Hernandez,District,1910635,64,92,2917
F,9th,Huang,0,285,Kimberly Harris,District,1910635,59,66,2917
F,10th,Huang,0,286,Katrina Hill,District,1910635,73,73,2917
F,9th,Huang,0,287,Heather Lee,District,1910635,69,71,2917
M,11th,Huang,0,288,Donald Harmon,District,1910635,67,63,2917
F,10th,Huang,0,289,Elizabeth Sanders,District,1910635,64,82,2917
M,12th,Huang,0,290,Richard Ramsey,District,1910635,60,80,2917
F,12th,Huang,0,291,Carmen Johnson,District,1910635,79,89,2917
F,10th,Huang,0,292,Elaine Osborne,District,1910635,69,91,2917
M,9th,Huang,0,293,Kent Burns,District,1910635,72,81,2917
F,11th,Huang,0,294,Meagan Smith,District,1910635,87,67,2917
M,9th,Huang,0,295,Craig Hahn,District,1910635,73,92,2917
M,11th,Huang,0,296,Jeremy Wu,District,1910635,81,72,2917
M,11th,Huang,0,297,Aaron Rodriguez,District,1910635,78,75,2917
M,10th,Huang,0,298,Matthew Taylor,District,1910635,63,64,2917
F,11th,Huang,0,299,Diana Evans,District,1910635,94,96,2917
F,12th,Huang,0,300,Michele Pearson,District,1910635,98,89,2917
M,12th,Huang,0,301,Erik Wagner,District,1910635,61,92,2917
F,12th,Huang,0,302,Maria Welch,District,1910635,97,74,2917
F,12th,Huang,0,303,Debra Martin,District,1910635,55,68,2917
M,9th,Huang,0,304,Devon Conner,District,1910635,89,91,2917
F,9th,Huang,0,305,Christine Patel,District,1910635,94,99,2917
M,9th,Huang,0,306,David Lopez,District,1910635,95,95,2917
M,11th,Huang,0,307,Nathan Baird,District,1910635,59,68,2917
M,11th,Huang,0,308,Samuel Castillo,District,1910635,57,98,2917
F,11th,Huang,0,309,Rebecca Payne,District,1910635,66,77,2917
M,10th,Huang,0,310,Carl Johnson,District,1910635,95,64,2917
M,12th,Huang,0,311,William Adams,District,1910635,82,85,2917
F,11th,Huang,0,312,Paula Harrison,District,1910635,91,81,2917
M,11th,Huang,0,313,Wayne Atkinson,District,1910635,63,86,2917
F,9th,Huang,0,314,Lindsay Frank,District,1910635,66,92,2917
M,10th,Huang,0,315,Jose Garcia,District,1910635,84,67,2917
M,12th,Huang,0,316,Andrew Gaines,District,1910635,87,68,2917
F,10th,Huang,0,317,Rachael Liu,District,1910635,79,77,2917
M,11th,Huang,0,318,Donald Lewis,District,1910635,72,72,2917
M,9th,Huang,0,319,Shane Edwards,District,1910635,59,74,2917
M,12th,Huang,0,320,Todd Levy,District,1910635,94,91,2917
F,10th,Huang,0,321,Joanna Moore,District,1910635,66,84,2917
M,9th,Huang,0,322,Michael Lewis,District,1910635,90,98,2917
M,9th,Huang,0,323,James Robinson,District,1910635,60,91,2917
M,9th,Huang,0,324,Jeffrey Arellano,District,1910635,87,89,2917
F,11th,Huang,0,325,Heather Allen MD,District,1910635,94,96,2917
F,9th,Huang,0,326,Lori Villarreal,District,1910635,81,66,2917
M,12th,Huang,0,327,Robert Harper,District,1910635,85,78,2917
F,9th,Huang,0,328,Karen Villegas,District,1910635,57,76,2917
F,9th,Huang,0,329,Tracey Crane,District,1910635,97,77,2917
F,9th,Huang,0,330,Elizabeth Allen,District,1910635,77,73,2917
M,11th,Huang,0,331,Jorge Lynn,District,1910635,66,93,2917
M,11th,Huang,0,332,Harold Gordon,District,1910635,66,98,2917
M,9th,Huang,0,333,Nicholas Mcclain,District,1910635,90,76,2917
F,11th,Huang,0,334,Tanya Harris,District,1910635,86,85,2917
F,12th,Huang,0,335,Amy Smith,District,1910635,93,93,2917
F,11th,Huang,0,336,Kathy Morse,District,1910635,91,64,2917
F,10th,Huang,0,337,Andrea Wood,District,1910635,70,77,2917
F,9th,Huang,0,338,Maureen Massey,District,1910635,76,98,2917
M,11th,Huang,0,339,Daniel Smith,District,1910635,81,66,2917
F,11th,Huang,0,340,Alexandra Smith,District,1910635,77,78,2917
F,11th,Huang,0,341,Caitlin Hall,District,1910635,58,72,2917
M,11th,Huang,0,342,Jose Carlson,District,1910635,91,90,2917
F,9th,Huang,0,343,Deborah Macias,District,1910635,87,90,2917
M,11th,Huang,0,344,Dwayne Rice,District,1910635,78,99,2917
M,10th,Huang,0,345,Matthew Harris,District,1910635,80,69,2917
M,9th,Huang,0,346,Eric Bowman,District,1910635,94,80,2917
M,9th,Huang,0,347,Samuel Ali,District,1910635,91,66,2917
M,12th,Huang,0,348,David Miller,District,1910635,92,70,2917
M,11th,Huang,0,349,James Moreno,District,1910635,63,89,2917
F,11th,Huang,0,350,Brooke Austin,District,1910635,98,78,2917
F,10th,Huang,0,351,Alisha Martin,District,1910635,68,65,2917
M,10th,Huang,0,352,Neil Rodriguez,District,1910635,69,98,2917
M,10th,Huang,0,353,Gary Williams,District,1910635,56,73,2917
M,12th,Huang,0,354,Michael Pittman,District,1910635,60,89,2917
F,10th,Huang,0,355,Stephanie Palmer,District,1910635,91,85,2917
F,11th,Huang,0,356,Christine Perry,District,1910635,97,92,2917
F,10th,Huang,0,357,Suzanne David,District,1910635,62,83,2917
F,12th,Huang,0,358,Amber Smith,District,1910635,75,82,2917
M,9th,Huang,0,359,Ryan Jones,District,1910635,62,94,2917
F,9th,Huang,0,360,Emily Ford,District,1910635,61,79,2917
F,12th,Huang,0,361,Kelsey Shea,District,1910635,66,85,2917
F,12th,Huang,0,362,Katherine Wallace,District,1910635,56,65,2917
F,11th,Huang,0,363,Erica Conway,District,1910635,72,79,2917
M,11th,Huang,0,364,Tyler Parker,District,1910635,56,88,2917
M,9th,Huang,0,365,Michael Parks,District,1910635,58,93,2917
F,12th,Huang,0,366,Elizabeth Hunt,District,1910635,58,91,2917
M,11th,Huang,0,367,Grant Jackson,District,1910635,61,78,2917
M,9th,Huang,0,368,Daniel Matthews,District,1910635,78,78,2917
F,9th,Huang,0,369,Diana Silva,District,1910635,82,69,2917
M,11th,Huang,0,370,Frank Garza,District,1910635,95,84,2917
F,10th,Huang,0,371,Terri Fischer,District,1910635,55,68,2917
M,12th,Huang,0,372,Robert Goodwin,District,1910635,92,95,2917
M,10th,Huang,0,373,Bobby Ruiz,District,1910635,97,65,2917
F,12th,Huang,0,374,Stephanie Taylor,District,1910635,97,75,2917
F,10th,Huang,0,375,Erin Hill,District,1910635,98,68,2917
F,10th,Huang,0,376,Erin Cohen,District,1910635,74,71,2917
M,9th,Huang,0,377,Jeffrey Morris,District,1910635,57,84,2917
F,10th,Huang,0,378,Elizabeth Simpson,District,1910635,63,97,2917
F,11th,Huang,0,379,Jennifer Davis,District,1910635,68,96,2917
F,9th,Huang,0,380,Rachel Burton,District,1910635,75,75,2917
M,9th,Huang,0,381,Joseph Wilkins,District,1910635,95,66,2917
M,11th,Huang,0,382,Lawrence Montgomery,District,1910635,70,87,2917
F,11th,Huang,0,383,Patricia Howard,District,1910635,65,70,2917
F,11th,Huang,0,384,Jessica Hanson,District,1910635,55,84,2917
F,10th,Huang,0,385,Donna Dean,District,1910635,77,98,2917
M,9th,Huang,0,386,Edwin Reid,District,1910635,57,69,2917
F,12th,Huang,0,387,Jodi Brown,District,1910635,85,70,2917
F,9th,Huang,0,388,Elizabeth Richard,District,1910635,88,90,2917
M,9th,Huang,0,389,Aaron Martinez,District,1910635,72,85,2917
M,9th,Huang,0,390,Stephen Fischer,District,1910635,88,81,2917
F,11th,Huang,0,391,Diana Reeves,District,1910635,83,86,2917
M,10th,Huang,0,392,Jeffrey Eaton,District,1910635,90,99,2917
F,9th,Huang,0,393,Evelyn Miller,District,1910635,71,65,2917
M,9th,Huang,0,394,Christopher Kidd,District,1910635,55,97,2917
F,9th,Huang,0,395,Sarah Adams,District,1910635,62,91,2917
F,12th,Huang,0,396,Melinda Nelson,District,1910635,82,75,2917
M,11th,Huang,0,397,Kevin Brooks,District,1910635,72,78,2917
M,12th,Huang,0,398,John Bowen,District,1910635,56,77,2917
F,12th,Huang,0,399,Tracie Abbott,District,1910635,69,72,2917
M,11th,Huang,0,400,Allen Foster,District,1910635,65,93,2917
F,12th,Huang,0,401,Kathryn Elliott,District,1910635,91,63,2917
M,12th,Huang,0,402,Christopher Walker,District,1910635,66,94,2917
F,11th,Huang,0,403,Cynthia Martin,District,1910635,59,67,2917
